nextUpDown,pUpDown,ratiotxin,ratiotxout,ratiotxinout,ratiotxBTC,ratioopen,ratiohigh,ratiolow,ratioclose
1,1,-0.164619165,-0.181481481,0.766917293,0.040888661,0,0.166666667,0,0.166666667
0,1,0.067647059,0.113122172,1.264705882,0.188267056,0.166666667,0.285714286,-0.833333333,0.285714286
1,0,0.104683196,0.130081301,1.201550388,0.203346836,0.285714286,0.333333333,6,0
0,1,-0.094763092,-0.14028777,0.741935484,-0.342087427,0,0.083333333,0.142857143,0.111111111
0,0,-0.05785124,-0.052301255,0.965217391,-0.506795192,0.111111111,-0.230769231,0.125,-0.1
1,0,0.029239766,0.061810155,1.162162162,0.366433891,-0.1,0,-0.111111111,0
0,1,0.034090909,0.018711019,0.976744186,0.433769828,0,0,0.125,0.111111111
0,0,0.008241758,-0.03877551,0.825396825,0.529108597,0.111111111,0,-0.333333333,0
0,0,-0.10626703,-0.093418259,0.951923077,-0.174548993,0,0.2,0.5,0
0,0,0.344512195,0.302107728,1.161616162,0.3591016,0,-0.166666667,0.111111111,0
0,0,0.036281179,0.026978417,0.991304348,-0.422089035,0,0,0,0
0,0,0.266958425,0.376532399,1.815789474,0.885342155,0,0,0,0
0,0,0.595854922,0.77480916,2.275362319,0.210600594,0,0,0,0
1,0,-0.228354978,-0.27311828,0.639065817,-0.235502301,0,0,-0.1,0
0,1,-0.225806452,-0.219921105,0.794019934,-0.081075067,0,0.1,0.111111111,0.1
1,0,0.09057971,0.12136536,1.192468619,-0.298950233,0.1,0,0,-0.090909091
0,1,-0.141196013,-0.160090192,0.8,-0.621555913,-0.090909091,0,0,0.1
1,0,0.067698259,0.010738255,0.881578947,1.216854387,0.1,0.727272727,0.1,0
1,1,-0.257246377,-0.27622842,0.671641791,0.392024852,0,0,-0.181818182,0.181818182
1,1,0.263414634,0.328440367,1.525925926,0.20761268,0.181818182,-0.052631579,0.444444444,0.153846154
0,1,0.096525097,0.124309392,1.194174757,0.098853054,0.153846154,0.055555556,0.153846154,0.266666667
1,0,-0.144366197,-0.176904177,0.74796748,-0.065581003,0.266666667,0,0.133333333,-0.105263158
